卖家描述	质量非常好 与卖家描述的完全一致 很喜欢 非常满意的一次购物
清次水还有这么	清了次的水还有这么多线头子这些这么多好评哪来的
价格 	李宁这个价格 买到就是赚到 衣服版型裁剪和做工都是一流 穿上身整个人就变得很挺拔 肩线也完全被修饰了 很值得购买
是一流	李宁这个价格 买到就是赚到 衣服版型裁剪和做工都是一流 穿上身整个人就变得很挺拔 肩线也完全被修饰了 很值得购买
真心差评 显示到	真心差评 显示到了多少天了 最后一直不送
就这个包装 先给	就这个包装 先给个差评
款式简单	款式简单 个人感觉腰身的地方弹性做的不是很好 其他地方没问题 对得起这个价格 普通棉 穿着一般 物流很好 自营的一般不会出大问题
弹性做	款式简单 个人感觉腰身的地方弹性做的不是很好 其他地方没问题 对得起这个价格 普通棉 穿着一般 物流很好 自营的一般不会出大问题
价格 	款式简单 个人感觉腰身的地方弹性做的不是很好 其他地方没问题 对得起这个价格 普通棉 穿着一般 物流很好 自营的一般不会出大问题
物流很好	款式简单 个人感觉腰身的地方弹性做的不是很好 其他地方没问题 对得起这个价格 普通棉 穿着一般 物流很好 自营的一般不会出大问题
这款宝贝很好看	这款宝贝很好看唉 又合身哎 物流也很快吁 很喜欢
大小合适 尺码合身	大小合适 尺码合身
很满意 喜欢喜欢	很满意 喜欢也喜欢 买回来好久了 现在才来评论
大洞 	第一天洗了 来穿 看到裤腿上方还有个大洞   这质检眼镜该换了
质量非常好	衣服质量非常好 版型好 穿着帅气有档次 值得购买
穿着帅气	衣服质量非常好 版型好 穿着帅气有档次 值得购买
有档次	衣服质量非常好 版型好 穿着帅气有档次 值得购买
儿阿 商标设计在	儿阿 商标设计在里面太人了
起来三角裤	穿起来和三角裤似的 太短了 根本不像四角裤 不舒服
太短 	穿起来和三角裤似的 太短了 根本不像四角裤 不舒服
身体 	很软很轻很干净 穿起来非常适合身体 价格也很有优势 真的好喜欢 客服态度也挺好的 值 以后有需要还会来买东西不错 还有优惠 可以放心省钱购买 不要犹豫了 大品牌 值得信赖 效果超级好 贵有贵的道理 很棒的商品
价格很有	很软很轻很干净 穿起来非常适合身体 价格也很有优势 真的好喜欢 客服态度也挺好的 值 以后有需要还会来买东西不错 还有优惠 可以放心省钱购买 不要犹豫了 大品牌 值得信赖 效果超级好 贵有贵的道理 很棒的商品
优势 	很软很轻很干净 穿起来非常适合身体 价格也很有优势 真的好喜欢 客服态度也挺好的 值 以后有需要还会来买东西不错 还有优惠 可以放心省钱购买 不要犹豫了 大品牌 值得信赖 效果超级好 贵有贵的道理 很棒的商品
放心省钱	很软很轻很干净 穿起来非常适合身体 价格也很有优势 真的好喜欢 客服态度也挺好的 值 以后有需要还会来买东西不错 还有优惠 可以放心省钱购买 不要犹豫了 大品牌 值得信赖 效果超级好 贵有贵的道理 很棒的商品
有贵道理	很软很轻很干净 穿起来非常适合身体 价格也很有优势 真的好喜欢 客服态度也挺好的 值 以后有需要还会来买东西不错 还有优惠 可以放心省钱购买 不要犹豫了 大品牌 值得信赖 效果超级好 贵有贵的道理 很棒的商品
很棒商品	很软很轻很干净 穿起来非常适合身体 价格也很有优势 真的好喜欢 客服态度也挺好的 值 以后有需要还会来买东西不错 还有优惠 可以放心省钱购买 不要犹豫了 大品牌 值得信赖 效果超级好 贵有贵的道理 很棒的商品
货都没收	货都没收到给我直接签收了
质量太差	这衣服家的啊 质量太差了 面料太薄了 穿上能把肉都能看见
面料太薄	这衣服家的啊 质量太差了 面料太薄了 穿上能把肉都能看见
衣服打开有股臭味	衣服打开有股臭味
质量越来越差	质量越来越差了 掉色严重 在水盆泡一下手洗就掉色了 掉色之后是土黄色 一块一块的掉色 最后全扔了
是土黄色	质量越来越差了 掉色严重 在水盆泡一下手洗就掉色了 掉色之后是土黄色 一块一块的掉色 最后全扔了
质量很好	这套秋衣是纯棉的 质量很好 质感柔软 材质密实 做工精细 版型很好 穿上大小合适 亲肤舒适又保暖 值得购买
质感柔软	这套秋衣是纯棉的 质量很好 质感柔软 材质密实 做工精细 版型很好 穿上大小合适 亲肤舒适又保暖 值得购买
气温穿穿	绒料摸着很舒服 厚度的话一般 不是特别厚 江浙沪的气温穿穿应该够了 物流很快 昨晚点下单 第二天上午就到了
物流很快 	绒料摸着很舒服 厚度的话一般 不是特别厚 江浙沪的气温穿穿应该够了 物流很快 昨晚点下单 第二天上午就到了
下单 	绒料摸着很舒服 厚度的话一般 不是特别厚 江浙沪的气温穿穿应该够了 物流很快 昨晚点下单 第二天上午就到了
正品 	正品 穿了很久评价 很好 轻薄 柔软 透气 穿上锻炼身体很舒服 赞
透气 	正品 穿了很久评价 很好 轻薄 柔软 透气 穿上锻炼身体很舒服 赞
质量很好	套装质量很好 是速干衣 清凉透气不粘身 穿着舒服清爽 挺好的
清凉透气	套装质量很好 是速干衣 清凉透气不粘身 穿着舒服清爽 挺好的
不错购物	快递很快就到了 给老公买的 很合适也很舒服 老公穿上也很合身 不错的购物 下回还会回购
做工细节	穿了一段时间 才来评价尺码大小 大小合适穿着很舒服做工细节 非常满意 挺好的材质手感 手感不错 摸着挺厚实值得购买保暖效果 保暖效果很好非常满意厚薄程度 适中透气效果 挺好的 大品牌值得信赖
手感 	穿了一段时间 才来评价尺码大小 大小合适穿着很舒服做工细节 非常满意 挺好的材质手感 手感不错 摸着挺厚实值得购买保暖效果 保暖效果很好非常满意厚薄程度 适中透气效果 挺好的 大品牌值得信赖
手感不错	穿了一段时间 才来评价尺码大小 大小合适穿着很舒服做工细节 非常满意 挺好的材质手感 手感不错 摸着挺厚实值得购买保暖效果 保暖效果很好非常满意厚薄程度 适中透气效果 挺好的 大品牌值得信赖
厚薄程度	穿了一段时间 才来评价尺码大小 大小合适穿着很舒服做工细节 非常满意 挺好的材质手感 手感不错 摸着挺厚实值得购买保暖效果 保暖效果很好非常满意厚薄程度 适中透气效果 挺好的 大品牌值得信赖
适中透气	穿了一段时间 才来评价尺码大小 大小合适穿着很舒服做工细节 非常满意 挺好的材质手感 手感不错 摸着挺厚实值得购买保暖效果 保暖效果很好非常满意厚薄程度 适中透气效果 挺好的 大品牌值得信赖
质量行 	质量还行 就是裤腿太瘦了 穿着很不舒服
客服推荐	客服推荐的尺码很标准 这样的价格买到这样的品质保暖确实很划算 穿上去完全没有刺激感 犹豫的宝贝赶快下手吧
价格到	客服推荐的尺码很标准 这样的价格买到这样的品质保暖确实很划算 穿上去完全没有刺激感 犹豫的宝贝赶快下手吧
品质保暖	客服推荐的尺码很标准 这样的价格买到这样的品质保暖确实很划算 穿上去完全没有刺激感 犹豫的宝贝赶快下手吧
客服介入	路边摊块一件的好过他的 快递慢 退货慢 退钱慢 非得京东客服介入 真的谁买谁知道
款式 	细长型的款式 宽度够了有点长
有点长	细长型的款式 宽度够了有点长
质量非常好	宝贝收到了 太惊喜了 质量非常好 性价比很高 真是出乎我的意料 是正品 而且价格不贵 用着也很大气 一直在用 很好
性价比很高	宝贝收到了 太惊喜了 质量非常好 性价比很高 真是出乎我的意料 是正品 而且价格不贵 用着也很大气 一直在用 很好
出乎意料	宝贝收到了 太惊喜了 质量非常好 性价比很高 真是出乎我的意料 是正品 而且价格不贵 用着也很大气 一直在用 很好
是正品	宝贝收到了 太惊喜了 质量非常好 性价比很高 真是出乎我的意料 是正品 而且价格不贵 用着也很大气 一直在用 很好
价格不贵	宝贝收到了 太惊喜了 质量非常好 性价比很高 真是出乎我的意料 是正品 而且价格不贵 用着也很大气 一直在用 很好
太薄 不是加厚加绒	太薄了 不是加厚加绒的
穿起来很舒服 	穿起来很舒服 到了第二天就去跑了半马 感受不错
质量很差	太薄了 质量很差 还不如地摊货
面料柔软	买给老公的 说很好穿 面料柔软 透气舒适 物流也给力
透气舒适	买给老公的 说很好穿 面料柔软 透气舒适 物流也给力
没有异味	打开没有异味哪 收到就试穿了 非常合身 款式时尚大气百搭
挺好 刚刚好	挺好 刚刚好 尺码合适 也比较保暖 北京这边零下到  也不觉得冷
没通知就放快递	没通知就放快递柜 为啥不送上门
刺鼻味道	买了两套 挺失望的 以为是原装的 但不是 衣服刺鼻味道很重 包装里面很多碎线头 做工很一般 商标明显是后缝上去的 跟在淘宝上买的两套普通牌子一样 完全不是这个品牌该有的质量 上图你们自己看 凑合穿吧
碎线头	买了两套 挺失望的 以为是原装的 但不是 衣服刺鼻味道很重 包装里面很多碎线头 做工很一般 商标明显是后缝上去的 跟在淘宝上买的两套普通牌子一样 完全不是这个品牌该有的质量 上图你们自己看 凑合穿吧
有质量	买了两套 挺失望的 以为是原装的 但不是 衣服刺鼻味道很重 包装里面很多碎线头 做工很一般 商标明显是后缝上去的 跟在淘宝上买的两套普通牌子一样 完全不是这个品牌该有的质量 上图你们自己看 凑合穿吧
质量挺好	挺好的 很实惠 质量挺好
穿着舒服 广告一样	穿着舒服 和广告的一样好
做工细节	穿着正合身版型也挺好做工细节 做工是很细致的那种没有多余的线头材质手感 手感很柔软保暖效果 洗后直接穿了厚薄程度 适度的薄厚没有太臃肿满意
手感 	穿着正合身版型也挺好做工细节 做工是很细致的那种没有多余的线头材质手感 手感很柔软保暖效果 洗后直接穿了厚薄程度 适度的薄厚没有太臃肿满意
手感很柔软	穿着正合身版型也挺好做工细节 做工是很细致的那种没有多余的线头材质手感 手感很柔软保暖效果 洗后直接穿了厚薄程度 适度的薄厚没有太臃肿满意
厚薄程度	穿着正合身版型也挺好做工细节 做工是很细致的那种没有多余的线头材质手感 手感很柔软保暖效果 洗后直接穿了厚薄程度 适度的薄厚没有太臃肿满意
极差 	差评 服务态度极差 物流要十几天还不到
物流要	差评 服务态度极差 物流要十几天还不到
手感非常柔软	大品牌质量还是挺不错的 尺码大小合适 做工非常精细 材质手感非常柔软 保暖效果也挺好的 显身材不是那么的厚 下次还会再来买
显身材	大品牌质量还是挺不错的 尺码大小合适 做工非常精细 材质手感非常柔软 保暖效果也挺好的 显身材不是那么的厚 下次还会再来买
网页材料写 棉	网页材料写的 棉 拿到手写的 外面料 棉 贴皮肤的内面是 聚酯纤维 为什么网页不写出来 我就是冲棉买的 贴皮肤 聚酯纤维 不是保暖是皮肤反应发热
价格合适	这个牌子的商品还是不错的 在京东自营店里看了几个牌子的最后才选择了这个 价格合适 收到商品看看质量很好 用材还行 穿了几天感觉挺好用的才来评价 好评
收到商品	这个牌子的商品还是不错的 在京东自营店里看了几个牌子的最后才选择了这个 价格合适 收到商品看看质量很好 用材还行 穿了几天感觉挺好用的才来评价 好评
看看质量	这个牌子的商品还是不错的 在京东自营店里看了几个牌子的最后才选择了这个 价格合适 收到商品看看质量很好 用材还行 穿了几天感觉挺好用的才来评价 好评
一分货 	半腿裤换不错 半袖一般呀 一个价钱一分货吧 没有惊喜 没有意外
没有色差	做工精细呢 没有色差吁 款式也非常的好 价格实惠 性价比高呜 商家服务态度好
款式非常好	做工精细呢 没有色差吁 款式也非常的好 价格实惠 性价比高呜 商家服务态度好
性价比高	做工精细呢 没有色差吁 款式也非常的好 价格实惠 性价比高呜 商家服务态度好
服务态度好	做工精细呢 没有色差吁 款式也非常的好 价格实惠 性价比高呜 商家服务态度好
是手感	衣服码数标准 大小合适 最主要的是手感不错 很柔软透气 价格不贵性价比很高
柔软透气	衣服码数标准 大小合适 最主要的是手感不错 很柔软透气 价格不贵性价比很高
价格不贵	衣服码数标准 大小合适 最主要的是手感不错 很柔软透气 价格不贵性价比很高
性价比很高	衣服码数标准 大小合适 最主要的是手感不错 很柔软透气 价格不贵性价比很高
服务态度好	卖家服务态度好 客服也耐心哦 面料做工都不错 喜欢 穿起来很舒服 设计感也不错 很经典的款式呦
客服耐心	卖家服务态度好 客服也耐心哦 面料做工都不错 喜欢 穿起来很舒服 设计感也不错 很经典的款式呦
面料做工	卖家服务态度好 客服也耐心哦 面料做工都不错 喜欢 穿起来很舒服 设计感也不错 很经典的款式呦
好面料	吸汗效果 非常好面料也很好想要的不要犹豫了
质量真的是	质量真的是差 买回来洗过掉色严重 商家还不让退货 这样的商家真的是昧着良心做生意 毕竟是内衣 你们凭良心道德自己敢穿吗
商家不让	质量真的是差 买回来洗过掉色严重 商家还不让退货 这样的商家真的是昧着良心做生意 毕竟是内衣 你们凭良心道德自己敢穿吗
商家真的是	质量真的是差 买回来洗过掉色严重 商家还不让退货 这样的商家真的是昧着良心做生意 毕竟是内衣 你们凭良心道德自己敢穿吗
是内衣	质量真的是差 买回来洗过掉色严重 商家还不让退货 这样的商家真的是昧着良心做生意 毕竟是内衣 你们凭良心道德自己敢穿吗
有弹性	东西很好 很有弹性 做工也很细
质量非常好	衣服质量非常好非常满意就事有点买大了哈哈
有点买大	衣服质量非常好非常满意就事有点买大了哈哈
衣服收到 快递很	衣服收到了 快递很给力 质量还是可以的 希望下次购会继续给力
质量挺好	质量挺好的 快递很快 跟图片一样 很喜欢 超级棒 这个价格蛮不错 物流超级超级快 颜色很正 和图片差不多 看起来挺好的 真的特别不错 颜色也很满意 客服态度也很好 物流很快 做工精巧 精致 价格实惠 非常喜欢 喜欢的不要犹豫哦 很好看 颜色漂亮 宝贝与卖家描述的完全一致 物超所值 发货很快
价格蛮不错	质量挺好的 快递很快 跟图片一样 很喜欢 超级棒 这个价格蛮不错 物流超级超级快 颜色很正 和图片差不多 看起来挺好的 真的特别不错 颜色也很满意 客服态度也很好 物流很快 做工精巧 精致 价格实惠 非常喜欢 喜欢的不要犹豫哦 很好看 颜色漂亮 宝贝与卖家描述的完全一致 物超所值 发货很快
物流很快 	质量挺好的 快递很快 跟图片一样 很喜欢 超级棒 这个价格蛮不错 物流超级超级快 颜色很正 和图片差不多 看起来挺好的 真的特别不错 颜色也很满意 客服态度也很好 物流很快 做工精巧 精致 价格实惠 非常喜欢 喜欢的不要犹豫哦 很好看 颜色漂亮 宝贝与卖家描述的完全一致 物超所值 发货很快
卖家描述	质量挺好的 快递很快 跟图片一样 很喜欢 超级棒 这个价格蛮不错 物流超级超级快 颜色很正 和图片差不多 看起来挺好的 真的特别不错 颜色也很满意 客服态度也很好 物流很快 做工精巧 精致 价格实惠 非常喜欢 喜欢的不要犹豫哦 很好看 颜色漂亮 宝贝与卖家描述的完全一致 物超所值 发货很快
质量不错	衣服质量不错 做工精细 针脚紧密 面料柔软 加绒保暖 绒摸着很细腻柔软 恒源祥品牌值得信赖
面料柔软	衣服质量不错 做工精细 针脚紧密 面料柔软 加绒保暖 绒摸着很细腻柔软 恒源祥品牌值得信赖
加绒保暖	衣服质量不错 做工精细 针脚紧密 面料柔软 加绒保暖 绒摸着很细腻柔软 恒源祥品牌值得信赖
降价 	我刚买完你们就降价 什么意思
不好特别薄	不好特别薄
手感没有	实物手感没有图片好看
底裤上英文 显得	底裤上的    英文 显得很
样子 	一套衣服无色差 就是不知道怎么拍成这个样子了 物流很快 次日就收到了 衣服质量还不错 穿了一下很柔软 也挺暖和
物流很快 	一套衣服无色差 就是不知道怎么拍成这个样子了 物流很快 次日就收到了 衣服质量还不错 穿了一下很柔软 也挺暖和
质量不错	一套衣服无色差 就是不知道怎么拍成这个样子了 物流很快 次日就收到了 衣服质量还不错 穿了一下很柔软 也挺暖和
小一码	确实很好 入手很值得 买的时候比平时买的小一码可能更合适
老牌子 	恒源祥 老牌子 大牌子 质量没的说 值得信赖 给爸爸买的 纯棉透气性好 不勒肚子 很舒服
大牌子	恒源祥 老牌子 大牌子 质量没的说 值得信赖 给爸爸买的 纯棉透气性好 不勒肚子 很舒服
透气性好	恒源祥 老牌子 大牌子 质量没的说 值得信赖 给爸爸买的 纯棉透气性好 不勒肚子 很舒服
勒肚子	恒源祥 老牌子 大牌子 质量没的说 值得信赖 给爸爸买的 纯棉透气性好 不勒肚子 很舒服
不是想要那种 还是	不是想要的那种 还是挺好看的
别的都还好 这	别的都还好 这都啥年代了 还在内裤里面打标签 膈应人啊 打在外面或者弄个可拆的也行啊 细节都这么不注意么
薄个啥一样 	薄的跟个啥一样 快赶上秋裤了 还加绒加厚呢 是考验我的眼光还是智商
售后正常 	掉色 不建议买 售后说正常 再洗几次看看
很好秋衣 老牌子	很好的秋衣 老牌子了
手感很好	尺码合适 颜色好看了 手感很好 穿着舒服呢 厚薄适中 保暖性很好唉 做工精细 五星好评
保暖性很好	尺码合适 颜色好看了 手感很好 穿着舒服呢 厚薄适中 保暖性很好唉 做工精细 五星好评
实物不符	辣西实物不符
料子比较厚实	收到宝贝先洗了一下穿了才来评价 料子比较厚实 做工很精细 穿上身效果也非常棒
喜欢质量	面料材质很好 设计时尚尺码标准 喜欢质量很好 款式设计得很用心 收到了穿着超显身材 款式也可爱 超喜欢
用心 	面料材质很好 设计时尚尺码标准 喜欢质量很好 款式设计得很用心 收到了穿着超显身材 款式也可爱 超喜欢
超显身材	面料材质很好 设计时尚尺码标准 喜欢质量很好 款式设计得很用心 收到了穿着超显身材 款式也可爱 超喜欢
款式可爱	面料材质很好 设计时尚尺码标准 喜欢质量很好 款式设计得很用心 收到了穿着超显身材 款式也可爱 超喜欢
裤子保暖	裤子保暖厚实 穿着暖和舒适
体验特别满意	价格超级实惠 穿着也特别棒 完美的一次购物体验特别满意
本来是要好评 	本来是要好评的 没有裤兜太不方便
是正品	衣服不错是正品 手感好 有弹性 穿起来很凉爽
手感好	衣服不错是正品 手感好 有弹性 穿起来很凉爽
有弹性	衣服不错是正品 手感好 有弹性 穿起来很凉爽
服务态度很棒	总体来说 确实很不错 客服的服务态度也很棒 说话几乎马上就会回消息 物超所值 真心推荐
质量 	洗了下试穿效果不错 质量可以 夏天穿着很凉爽 白色百搭 优惠时购买挺划算的
大家千万不要上当 	大家千万不要上当了 绝对不能买这种上当的东西
质量很好	宝贝质量很好 收到货第一时间打开看了 很不错  很满意  客服也有问必答 感谢
时间打开	宝贝质量很好 收到货第一时间打开看了 很不错  很满意  客服也有问必答 感谢
  客服	宝贝质量很好 收到货第一时间打开看了 很不错  很满意  客服也有问必答 感谢
面料很柔软	棉质面料很柔软 舒服 造工不是很差 没有瑕疵 毕竟是吸汗功能的衣物 所以略显薄 吸汗效果很好 试穿一下就抓紧时间写这段评论 李宁 一直都是我们一家追随的国货 质量非常可靠 价格实惠 尺码标准
吸汗功能	棉质面料很柔软 舒服 造工不是很差 没有瑕疵 毕竟是吸汗功能的衣物 所以略显薄 吸汗效果很好 试穿一下就抓紧时间写这段评论 李宁 一直都是我们一家追随的国货 质量非常可靠 价格实惠 尺码标准
衣物 	棉质面料很柔软 舒服 造工不是很差 没有瑕疵 毕竟是吸汗功能的衣物 所以略显薄 吸汗效果很好 试穿一下就抓紧时间写这段评论 李宁 一直都是我们一家追随的国货 质量非常可靠 价格实惠 尺码标准
追随国货	棉质面料很柔软 舒服 造工不是很差 没有瑕疵 毕竟是吸汗功能的衣物 所以略显薄 吸汗效果很好 试穿一下就抓紧时间写这段评论 李宁 一直都是我们一家追随的国货 质量非常可靠 价格实惠 尺码标准
质量非常可靠	棉质面料很柔软 舒服 造工不是很差 没有瑕疵 毕竟是吸汗功能的衣物 所以略显薄 吸汗效果很好 试穿一下就抓紧时间写这段评论 李宁 一直都是我们一家追随的国货 质量非常可靠 价格实惠 尺码标准
很一般 都倒	很一般 标签都倒过来了
有点大	一般般吧 尺寸有点大 略微薄了点
准有点	衣服有些偏大 尺码不太准有点肥了 穿上松松垮垮 不过价格在这里放着 不能要求太高了 能穿 后期有什么问题的话再来追评吧 可以
东西很一般 质量	东西很一般 质量感觉很差的样子
衣服太薄 一下子 	衣服太薄了 一下子买了四件 漏电
弹性比较差	弹性比较差
质量很好	衣服质量很好 颜色正穿上大小合适 样式也好看 下次还买这家 强力推荐
样式好看	衣服质量很好 颜色正穿上大小合适 样式也好看 下次还买这家 强力推荐
物品收到	物品收到 包装完好 大小合适 穿着舒服 不知抗菌效果如何 但愿如宣传一样有效物有所值 基本满意
基本满意	物品收到 包装完好 大小合适 穿着舒服 不知抗菌效果如何 但愿如宣传一样有效物有所值 基本满意
很合身咳 穿	很合身咳 穿起来也挺舒服的 不知道洗完是否缩水
没有地摊货	这个质量不敢恭维 还没有地摊货好呢
物流很快 	物流很快 穿着很舒服 不错
体验感	这次买的内裤体验感很差 内裤后面的那个尺寸布条磨红了我腰上的肉 又疼又痒 设计贼差 其中有一条洗完穿上之后底部还向内卷 很不舒服的感觉 完全打破了我之前的好印象 以后应该会慎重选择了
内卷 	这次买的内裤体验感很差 内裤后面的那个尺寸布条磨红了我腰上的肉 又疼又痒 设计贼差 其中有一条洗完穿上之后底部还向内卷 很不舒服的感觉 完全打破了我之前的好印象 以后应该会慎重选择了
速度很快 	确实不错啊 必须好评送上啊 大品牌 恒源祥 纯棉不贵 发货速度很快 做工精美 不褪色 面料柔软舒适 全方位呵护小弟弟 赶上京东优惠活动 四条只要二十几元 超级划算 推荐给大家
面料柔软	确实不错啊 必须好评送上啊 大品牌 恒源祥 纯棉不贵 发货速度很快 做工精美 不褪色 面料柔软舒适 全方位呵护小弟弟 赶上京东优惠活动 四条只要二十几元 超级划算 推荐给大家
做工细节	这套男式内衣第一次购买 总体感觉下来还是不错的 有需要还会购买吧 在京东购买还是比较方便的尺码大小 尺码准做工细节 考究材质手感 柔暖保暖效果 暖和厚薄程度 还是挺厚的透气效果 还是不错的
手感 	这套男式内衣第一次购买 总体感觉下来还是不错的 有需要还会购买吧 在京东购买还是比较方便的尺码大小 尺码准做工细节 考究材质手感 柔暖保暖效果 暖和厚薄程度 还是挺厚的透气效果 还是不错的
厚薄程度	这套男式内衣第一次购买 总体感觉下来还是不错的 有需要还会购买吧 在京东购买还是比较方便的尺码大小 尺码准做工细节 考究材质手感 柔暖保暖效果 暖和厚薄程度 还是挺厚的透气效果 还是不错的
挺厚透气	这套男式内衣第一次购买 总体感觉下来还是不错的 有需要还会购买吧 在京东购买还是比较方便的尺码大小 尺码准做工细节 考究材质手感 柔暖保暖效果 暖和厚薄程度 还是挺厚的透气效果 还是不错的
短裤薄如纸 连口袋	短裤薄如纸 连口袋都没有
物流很快 	京东物流很快 赞  恒源祥老牌子 值得信赖 膝盖处有羊毛保暖的 收到后试穿了一下 效果不错
老牌子 	京东物流很快 赞  恒源祥老牌子 值得信赖 膝盖处有羊毛保暖的 收到后试穿了一下 效果不错
质量很好	衣服收到了 质量很好 大小也合适 质量也很好
质量很好	衣服收到了 质量很好 大小也合适 质量也很好
好歹是是大品牌	好歹也是也是大品牌 拿回来洗居然掉色 也够差的
破玩意	啥破玩意 贼薄透风 就这还 都不如早市没牌子元一件的 早知道恒源祥套牌了 没想到能这么渣 就一次 再也不买了
没牌子	啥破玩意 贼薄透风 就这还 都不如早市没牌子元一件的 早知道恒源祥套牌了 没想到能这么渣 就一次 再也不买了
一星都多穿上	一星都多穿上大的一批裤脚上翘的厉害穿上你们就知道了宝贝包裹不住松的厉害最差劲的一次购物家人们买的时候注意了一般人洗过才会穿洗过再穿缩水还大就不给退了
速度快	发货速度快 衣服面料好 质量优良 价廉物美 值得信赖 值得购买
面料好	发货速度快 衣服面料好 质量优良 价廉物美 值得信赖 值得购买
变形 	穿了几天了 不变形 很舒服 保暖性强 也没有掉毛的现象 很好
保暖性强	穿了几天了 不变形 很舒服 保暖性强 也没有掉毛的现象 很好
现象 	穿了几天了 不变形 很舒服 保暖性强 也没有掉毛的现象 很好
裤子保暖	差评 这裤子跟保暖根本一点关系也没有 加绒了有个屁用 这么薄保暖效果 差厚薄程度 差
关系没有	差评 这裤子跟保暖根本一点关系也没有 加绒了有个屁用 这么薄保暖效果 差厚薄程度 差
厚薄程度	差评 这裤子跟保暖根本一点关系也没有 加绒了有个屁用 这么薄保暖效果 差厚薄程度 差
质量不错	很好用 方便 质量不错
不知道是不是冰丝 	不知道是不是冰丝 反正没有凉的感觉 东西很一般
标都是	别人家的标都是在左边 只有他家在右边 不知道是不是正版还是盗版 已经扔了
