labels,key_words,review
food,2 place staff price menu ambience food miscellaneous service,") other food is served in too-small portions, but at least it leaves room for dessert."
miscellaneous,2 place staff price menu ambience food miscellaneous service,"It was very loud, I felt too crowded, the man chair's next to me made it impossible for the waiters to pass."
staff,1 place staff price menu ambience food miscellaneous service,"It was very loud, I felt too crowded, the man chair's next to me made it impossible for the waiters to pass."
food,2 place staff price menu ambience food miscellaneous service,"After ordering drinks, we both decided on the Paella Vallenciana, brought out on hot plates."
miscellaneous,3 place staff price menu ambience food miscellaneous service,"After ordering drinks, we both decided on the Paella Vallenciana, brought out on hot plates."
miscellaneous,3 place staff price menu ambience food miscellaneous service,Portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.
staff,3 place staff price menu ambience food miscellaneous service,Portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.
food,2 place staff price menu ambience food miscellaneous service,Portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.
food,1 place staff price menu ambience food miscellaneous service,I had to ask for bread for the table (several times).
miscellaneous,2 place staff price menu ambience food miscellaneous service,I had to ask for bread for the table (several times).
food,2 place staff price menu ambience food miscellaneous service,"Specialty drinks--alcoholic and non--arrive in skull mugs or mini-canteens, nifty take-home souvenirs."
miscellaneous,3 place staff price menu ambience food miscellaneous service,"Specialty drinks--alcoholic and non--arrive in skull mugs or mini-canteens, nifty take-home souvenirs."
service,1 place staff price menu ambience food miscellaneous service,After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.
staff,3 place staff price menu ambience food miscellaneous service,After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.
staff,1 place staff price menu ambience food miscellaneous service,I was told by the hostess that a specific table would be mine once the customers left and I waited 45 minutes for that to happen.
miscellaneous,2 place staff price menu ambience food miscellaneous service,I was told by the hostess that a specific table would be mine once the customers left and I waited 45 minutes for that to happen.
food,2 place staff price menu ambience food miscellaneous service,"Towards the end of our meal, a server came out, apparently our orders had been double-filled."
staff,1 place staff price menu ambience food miscellaneous service,"Towards the end of our meal, a server came out, apparently our orders had been double-filled."
menu,3 place staff price menu ambience food miscellaneous service,"The Food The casual Middle Eastern menu looks familar, but the food--made to order in the open kitchen--is a notch above its peers."
place,2 place staff price menu ambience food miscellaneous service,"The Food The casual Middle Eastern menu looks familar, but the food--made to order in the open kitchen--is a notch above its peers."
food,2 place staff price menu ambience food miscellaneous service,"Upon entering, I was impressed by the room while the food on other peoples' tables seemed enticing."
place,3 place staff price menu ambience food miscellaneous service,"Upon entering, I was impressed by the room while the food on other peoples' tables seemed enticing."
staff,3 place staff price menu ambience food miscellaneous service,"The beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good."
food,2 place staff price menu ambience food miscellaneous service,"The beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good."
food,3 place staff price menu ambience food miscellaneous service,"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience."
staff,3 place staff price menu ambience food miscellaneous service,"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience."
ambience,2 place staff price menu ambience food miscellaneous service,"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience."
food,1 place staff price menu ambience food miscellaneous service,"Came recommended to us, but we found the food to be so-so, the service good, but we were told we could not order desert since the table we were at had a reservation waiting."
service,2 place staff price menu ambience food miscellaneous service,"Came recommended to us, but we found the food to be so-so, the service good, but we were told we could not order desert since the table we were at had a reservation waiting."
staff,1 place staff price menu ambience food miscellaneous service,"Our waitress couldn't tell us what was in the seafood special, forgot to put in our oyster order so it came at the same time as the main meals, wasn't able to provide a confident recommendation from the menu, and had to be flagged several times for drinks."
food,2 place staff price menu ambience food miscellaneous service,"Our waitress couldn't tell us what was in the seafood special, forgot to put in our oyster order so it came at the same time as the main meals, wasn't able to provide a confident recommendation from the menu, and had to be flagged several times for drinks."
menu,2 place staff price menu ambience food miscellaneous service,"Our waitress couldn't tell us what was in the seafood special, forgot to put in our oyster order so it came at the same time as the main meals, wasn't able to provide a confident recommendation from the menu, and had to be flagged several times for drinks."
food,2 place staff price menu ambience food miscellaneous service,I went back (with my cold soups) They said they would have to make me another dish since they couldn't scrape off the unwanted ingredients.
ambience,1 place staff price menu ambience food miscellaneous service,I went back (with my cold soups) They said they would have to make me another dish since they couldn't scrape off the unwanted ingredients.
staff,3 place staff price menu ambience food miscellaneous service,"Server's were extremely nice, yet were socializing too much with friends that were having drinks at the bar and it was difficult to get their attention."
place,2 place staff price menu ambience food miscellaneous service,"Server's were extremely nice, yet were socializing too much with friends that were having drinks at the bar and it was difficult to get their attention."
place,2 place staff price menu ambience food miscellaneous service,"And there wasn't much room for the people at the bar to stand either, as the restaurant attempted to squeeze as many tables into the restaurant as they could, forcing those dining to have to shift in their chairs every time a waiter attempted to get by."
food,2 place staff price menu ambience food miscellaneous service,"And there wasn't much room for the people at the bar to stand either, as the restaurant attempted to squeeze as many tables into the restaurant as they could, forcing those dining to have to shift in their chairs every time a waiter attempted to get by."
miscellaneous,2 place staff price menu ambience food miscellaneous service,"And there wasn't much room for the people at the bar to stand either, as the restaurant attempted to squeeze as many tables into the restaurant as they could, forcing those dining to have to shift in their chairs every time a waiter attempted to get by."
staff,1 place staff price menu ambience food miscellaneous service,"And there wasn't much room for the people at the bar to stand either, as the restaurant attempted to squeeze as many tables into the restaurant as they could, forcing those dining to have to shift in their chairs every time a waiter attempted to get by."
food,2 place staff price menu ambience food miscellaneous service,"Went for an early V-Day dinner, only to be highly disappointed by the service."
service,1 place staff price menu ambience food miscellaneous service,"Went for an early V-Day dinner, only to be highly disappointed by the service."
food,2 place staff price menu ambience food miscellaneous service,Before our food arrived I asked our waitress if we could be moved and she just stared blankly at me.
staff,1 place staff price menu ambience food miscellaneous service,Before our food arrived I asked our waitress if we could be moved and she just stared blankly at me.
service,3 place staff price menu ambience food miscellaneous service,The service is excellent -- the staff is attentive and the waitress was well-informed about the menu.
staff,3 place staff price menu ambience food miscellaneous service,The service is excellent -- the staff is attentive and the waitress was well-informed about the menu.
menu,2 place staff price menu ambience food miscellaneous service,The service is excellent -- the staff is attentive and the waitress was well-informed about the menu.
price,1 place staff price menu ambience food miscellaneous service,"I still go often, but the prices went up a little and the service is even slower now that they're always full during dinner hours."
food,2 place staff price menu ambience food miscellaneous service,"I still go often, but the prices went up a little and the service is even slower now that they're always full during dinner hours."
food,2 place staff price menu ambience food miscellaneous service,"It is the only all Austrian wine list in the country and the waitress gladly broke it down for me, so I could find just the right wine for my meal."
staff,3 place staff price menu ambience food miscellaneous service,"It is the only all Austrian wine list in the country and the waitress gladly broke it down for me, so I could find just the right wine for my meal."
place,3 place staff price menu ambience food miscellaneous service,its a cool place to come with a bunch of people or with a date for maybe a mild dinner or some drinks.
food,2 place staff price menu ambience food miscellaneous service,its a cool place to come with a bunch of people or with a date for maybe a mild dinner or some drinks.
staff,1 place staff price menu ambience food miscellaneous service,The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.
food,2 place staff price menu ambience food miscellaneous service,The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.
service,1 place staff price menu ambience food miscellaneous service,The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.
food,1 place staff price menu ambience food miscellaneous service,"worst margaritas in town,if you are going to order a battle of (white wine)they served hot."
service,2 place staff price menu ambience food miscellaneous service,"worst margaritas in town,if you are going to order a battle of (white wine)they served hot."
food,2 place staff price menu ambience food miscellaneous service,"They served the main course before the appetizers eventhough we asked for the latter first, to which our waiter responded that they don't serve them separately without telling us beforehand while ordering."
staff,1 place staff price menu ambience food miscellaneous service,"They served the main course before the appetizers eventhough we asked for the latter first, to which our waiter responded that they don't serve them separately without telling us beforehand while ordering."
staff,1 place staff price menu ambience food miscellaneous service,"After requesting to be seated at an empty table, the waitress (who was so terribly burdened when we asked to move from the bar to the table to have dinner) asked us to get up from our seats and wait for a smaller table because a party of 3 just walked in."
place,2 place staff price menu ambience food miscellaneous service,"After requesting to be seated at an empty table, the waitress (who was so terribly burdened when we asked to move from the bar to the table to have dinner) asked us to get up from our seats and wait for a smaller table because a party of 3 just walked in."
food,2 place staff price menu ambience food miscellaneous service,"After requesting to be seated at an empty table, the waitress (who was so terribly burdened when we asked to move from the bar to the table to have dinner) asked us to get up from our seats and wait for a smaller table because a party of 3 just walked in."
place,1 place staff price menu ambience food miscellaneous service,"The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about."
menu,2 place staff price menu ambience food miscellaneous service,"The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about."
service,1 place staff price menu ambience food miscellaneous service,"Although the service can be a bit brusque at times, the food is always good, hearty and hot."
food,3 place staff price menu ambience food miscellaneous service,"Although the service can be a bit brusque at times, the food is always good, hearty and hot."
food,3 place staff price menu ambience food miscellaneous service,"The Food Despite a menu that seems larger than the restaurant, great care goes into the preparation of every dish."
menu,2 place staff price menu ambience food miscellaneous service,"The Food Despite a menu that seems larger than the restaurant, great care goes into the preparation of every dish."
ambience,2 place staff price menu ambience food miscellaneous service,Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.
food,3 place staff price menu ambience food miscellaneous service,Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.
place,2 place staff price menu ambience food miscellaneous service,"Be warned that this place can get pretty crowded, though the $3 bloody mary's at the bar and the killer DJ make the wait more than bearable."
staff,1 place staff price menu ambience food miscellaneous service,"Be warned that this place can get pretty crowded, though the $3 bloody mary's at the bar and the killer DJ make the wait more than bearable."
miscellaneous,2 place staff price menu ambience food miscellaneous service,"As if that wasnt enough, after another in the group mentioned that a portion of the sushi on her plate was not what she had ordered, the waiter came back with chopsticks and started to remove it (as she was eating!)"
food,2 place staff price menu ambience food miscellaneous service,"As if that wasnt enough, after another in the group mentioned that a portion of the sushi on her plate was not what she had ordered, the waiter came back with chopsticks and started to remove it (as she was eating!)"
staff,1 place staff price menu ambience food miscellaneous service,"As if that wasnt enough, after another in the group mentioned that a portion of the sushi on her plate was not what she had ordered, the waiter came back with chopsticks and started to remove it (as she was eating!)"
food,3 place staff price menu ambience food miscellaneous service,We started with the guacamole and this is by far the best I've ever had bar none.
place,2 place staff price menu ambience food miscellaneous service,We started with the guacamole and this is by far the best I've ever had bar none.
food,3 place staff price menu ambience food miscellaneous service,"If you eat here, just keep in mind that the specials are much higher than the regular menu when ordering."
menu,2 place staff price menu ambience food miscellaneous service,"If you eat here, just keep in mind that the specials are much higher than the regular menu when ordering."
staff,1 place staff price menu ambience food miscellaneous service,The waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.
food,2 place staff price menu ambience food miscellaneous service,The waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.
miscellaneous,2 place staff price menu ambience food miscellaneous service,The waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.
staff,1 place staff price menu ambience food miscellaneous service,"Before we can even order desert, the waitress comes and tells us we have to leave because the host wanted our table."
miscellaneous,2 place staff price menu ambience food miscellaneous service,"Before we can even order desert, the waitress comes and tells us we have to leave because the host wanted our table."
place,2 place staff price menu ambience food miscellaneous service,the tables are in the back and the ambience was less to be desired.
ambience,1 place staff price menu ambience food miscellaneous service,the tables are in the back and the ambience was less to be desired.
service,3 place staff price menu ambience food miscellaneous service,"While service is still ok, the food has been not up to par on my last few visits."
food,1 place staff price menu ambience food miscellaneous service,"While service is still ok, the food has been not up to par on my last few visits."
food,2 place staff price menu ambience food miscellaneous service,"After the wine experience, I actually expected worse than what was served."
service,1 place staff price menu ambience food miscellaneous service,"After the wine experience, I actually expected worse than what was served."
place,2 place staff price menu ambience food miscellaneous service,I dined in the Main Dining Room which is surrounded by authentic Spanish decorations.
ambience,3 place staff price menu ambience food miscellaneous service,I dined in the Main Dining Room which is surrounded by authentic Spanish decorations.
staff,1 place staff price menu ambience food miscellaneous service,"Our server did not check on us, ask if we needed anything, refill our water or get our dessert order right."
food,2 place staff price menu ambience food miscellaneous service,"Our server did not check on us, ask if we needed anything, refill our water or get our dessert order right."
miscellaneous,1 place staff price menu ambience food miscellaneous service,"On ouor visit, our reservation was ignored and then we were asked to move from our seats at the bar, where we were told to wait, because we were not drinking enough."
place,2 place staff price menu ambience food miscellaneous service,"On ouor visit, our reservation was ignored and then we were asked to move from our seats at the bar, where we were told to wait, because we were not drinking enough."
food,3 place staff price menu ambience food miscellaneous service,"The food at Cafe Asean is to die for, and the prices are unmatchable."
price,1 place staff price menu ambience food miscellaneous service,"The food at Cafe Asean is to die for, and the prices are unmatchable."
miscellaneous,3 place staff price menu ambience food miscellaneous service,"The Scene The entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling."
place,1 place staff price menu ambience food miscellaneous service,"The Scene The entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling."
food,2 place staff price menu ambience food miscellaneous service,"The Scene The entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling."
food,3 place staff price menu ambience food miscellaneous service,It also has great ice cream and spumoni ices.
miscellaneous,2 place staff price menu ambience food miscellaneous service,It also has great ice cream and spumoni ices.
food,3 place staff price menu ambience food miscellaneous service,"However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line."
miscellaneous,1 place staff price menu ambience food miscellaneous service,"However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line."
service,1 place staff price menu ambience food miscellaneous service,"However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line."
staff,1 place staff price menu ambience food miscellaneous service,The ONLY negative was when we asked the waiter to secretly bring birthday cake and some other desserts for the table.
miscellaneous,2 place staff price menu ambience food miscellaneous service,The ONLY negative was when we asked the waiter to secretly bring birthday cake and some other desserts for the table.
food,2 place staff price menu ambience food miscellaneous service,"Sometimes, the take-out and seating lines can be long, but the staff help move things along."
miscellaneous,2 place staff price menu ambience food miscellaneous service,"Sometimes, the take-out and seating lines can be long, but the staff help move things along."
staff,3 place staff price menu ambience food miscellaneous service,"Sometimes, the take-out and seating lines can be long, but the staff help move things along."
place,1 place staff price menu ambience food miscellaneous service,"I went to Sushiden on a Friday night around 8:00, the place was pretty empty, we had reservations, but we didnt need them."
miscellaneous,2 place staff price menu ambience food miscellaneous service,"I went to Sushiden on a Friday night around 8:00, the place was pretty empty, we had reservations, but we didnt need them."
ambience,3 place staff price menu ambience food miscellaneous service,THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.
miscellaneous,1 place staff price menu ambience food miscellaneous service,THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.
staff,1 place staff price menu ambience food miscellaneous service,"A+  was planning a party for my staff, and was treated rudely by another restaurant when trying to add more people to reservation (a simple no would have worked)."
miscellaneous,2 place staff price menu ambience food miscellaneous service,"A+  was planning a party for my staff, and was treated rudely by another restaurant when trying to add more people to reservation (a simple no would have worked)."
food,3 place staff price menu ambience food miscellaneous service,"The Food Regulars swear by the tamales, which are spongy, well-seasoned and pulled from steaming crocks on the counter."
place,2 place staff price menu ambience food miscellaneous service,"The Food Regulars swear by the tamales, which are spongy, well-seasoned and pulled from steaming crocks on the counter."
food,2 place staff price menu ambience food miscellaneous service,"Unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere."
service,1 place staff price menu ambience food miscellaneous service,"Unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere."
ambience,2 place staff price menu ambience food miscellaneous service,"Unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere."
place,2 place staff price menu ambience food miscellaneous service,"They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)"
food,3 place staff price menu ambience food miscellaneous service,"They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)"
staff,3 place staff price menu ambience food miscellaneous service,"They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)"
staff,1 place staff price menu ambience food miscellaneous service,Not to mention that the busboy spilled 2 glasses of water on my back and the Manager was NOWHERE TO BE SEEN.
food,2 place staff price menu ambience food miscellaneous service,Not to mention that the busboy spilled 2 glasses of water on my back and the Manager was NOWHERE TO BE SEEN.
staff,3 place staff price menu ambience food miscellaneous service,"Smiling servers quiz diners with movie trivia, but forget to fill their water glasses."
price,2 place staff price menu ambience food miscellaneous service,"Smiling servers quiz diners with movie trivia, but forget to fill their water glasses."
miscellaneous,2 place staff price menu ambience food miscellaneous service,"Smiling servers quiz diners with movie trivia, but forget to fill their water glasses."
staff,1 place staff price menu ambience food miscellaneous service,"The waiter was miffed when we decided to order dessert (and I must say we were eating the courses as they arrived, no lingering)."
food,2 place staff price menu ambience food miscellaneous service,"The waiter was miffed when we decided to order dessert (and I must say we were eating the courses as they arrived, no lingering)."
service,1 place staff price menu ambience food miscellaneous service,"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case."
ambience,1 place staff price menu ambience food miscellaneous service,"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case."
food,3 place staff price menu ambience food miscellaneous service,"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case."
staff,3 place staff price menu ambience food miscellaneous service,Chef Anthony is warm and is always fixing up something unique and tasty in the kitchen to send to your table.
miscellaneous,2 place staff price menu ambience food miscellaneous service,Chef Anthony is warm and is always fixing up something unique and tasty in the kitchen to send to your table.
menu,2 place staff price menu ambience food miscellaneous service,"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce."
food,3 place staff price menu ambience food miscellaneous service,"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce."
food,2 place staff price menu ambience food miscellaneous service,"Had an after-work drink at the bar with a date, loved the place so much we came back for brunch the next morning."
place,3 place staff price menu ambience food miscellaneous service,"Had an after-work drink at the bar with a date, loved the place so much we came back for brunch the next morning."
food,3 place staff price menu ambience food miscellaneous service,The food was served promptly and was really hot.
service,2 place staff price menu ambience food miscellaneous service,The food was served promptly and was really hot.
place,3 place staff price menu ambience food miscellaneous service,"The kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it."
service,2 place staff price menu ambience food miscellaneous service,"The kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it."
staff,3 place staff price menu ambience food miscellaneous service,"The kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it."
food,2 place staff price menu ambience food miscellaneous service,"The kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it."
food,2 place staff price menu ambience food miscellaneous service,I had been to Blue Fin previously for drinks and appetizers and thought the atmosphere was very good (expecially for people watching).
ambience,3 place staff price menu ambience food miscellaneous service,I had been to Blue Fin previously for drinks and appetizers and thought the atmosphere was very good (expecially for people watching).
service,1 place staff price menu ambience food miscellaneous service,"The bar downstairs is a lot of fun, so if you get stuck waiting, just have drink."
food,2 place staff price menu ambience food miscellaneous service,"The bar downstairs is a lot of fun, so if you get stuck waiting, just have drink."
ambience,3 place staff price menu ambience food miscellaneous service,"The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed."
place,1 place staff price menu ambience food miscellaneous service,"The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed."
food,2 place staff price menu ambience food miscellaneous service,We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.
service,1 place staff price menu ambience food miscellaneous service,We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.
staff,3 place staff price menu ambience food miscellaneous service,"Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite."
food,1 place staff price menu ambience food miscellaneous service,"Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite."
food,1 place staff price menu ambience food miscellaneous service,Their desserts were limited - I mean REALLY limited to 2 items (nothing like the online menu).
menu,2 place staff price menu ambience food miscellaneous service,Their desserts were limited - I mean REALLY limited to 2 items (nothing like the online menu).
food,2 place staff price menu ambience food miscellaneous service,"My group got charged an outrageuos $63/person for a family-style dinner, including a 23% tip added for the horrible service."
service,1 place staff price menu ambience food miscellaneous service,"My group got charged an outrageuos $63/person for a family-style dinner, including a 23% tip added for the horrible service."
staff,1 place staff price menu ambience food miscellaneous service,Bartenders look like model wannabes and threw out my friend's beer before he was finished (about 1/4 left).
food,2 place staff price menu ambience food miscellaneous service,Bartenders look like model wannabes and threw out my friend's beer before he was finished (about 1/4 left).
staff,2 place staff price menu ambience food miscellaneous service,Perhaps if the owner manager would concentrate more on service then acting as a dj this restaurant would run better.
service,1 place staff price menu ambience food miscellaneous service,Perhaps if the owner manager would concentrate more on service then acting as a dj this restaurant would run better.
food,3 place staff price menu ambience food miscellaneous service,"The food at Parish was tasy and well-prepared, but the portions were absurdly miniscule, especially in proportion to the prices."
miscellaneous,1 place staff price menu ambience food miscellaneous service,"The food at Parish was tasy and well-prepared, but the portions were absurdly miniscule, especially in proportion to the prices."
price,1 place staff price menu ambience food miscellaneous service,"The food at Parish was tasy and well-prepared, but the portions were absurdly miniscule, especially in proportion to the prices."
place,2 place staff price menu ambience food miscellaneous service,There is actually space to breathe and the decor sets the tone for an intimate dinner.
ambience,3 place staff price menu ambience food miscellaneous service,There is actually space to breathe and the decor sets the tone for an intimate dinner.
food,3 place staff price menu ambience food miscellaneous service,There is actually space to breathe and the decor sets the tone for an intimate dinner.
ambience,3 place staff price menu ambience food miscellaneous service,The atmosphere was really nice and inviting but our waiter was awful!
staff,1 place staff price menu ambience food miscellaneous service,The atmosphere was really nice and inviting but our waiter was awful!
staff,3 place staff price menu ambience food miscellaneous service,"I always listen to the waiters' recommendations, because they're always awesome - either a special or just one of their faves off the menu."
menu,2 place staff price menu ambience food miscellaneous service,"I always listen to the waiters' recommendations, because they're always awesome - either a special or just one of their faves off the menu."
ambience,3 place staff price menu ambience food miscellaneous service,"The decor is sparse and elegant, the service warm (though my waitress was occasionally difficult to find), and the sushi fresh."
service,3 place staff price menu ambience food miscellaneous service,"The decor is sparse and elegant, the service warm (though my waitress was occasionally difficult to find), and the sushi fresh."
staff,1 place staff price menu ambience food miscellaneous service,"The decor is sparse and elegant, the service warm (though my waitress was occasionally difficult to find), and the sushi fresh."
staff,1 place staff price menu ambience food miscellaneous service,I waited 15 minutes for the waiter to take the bill from me and finally I got fed up with him walking past our table I had to start waving the bill in the air and finally some other waitress took our bill.
ambience,2 place staff price menu ambience food miscellaneous service,I waited 15 minutes for the waiter to take the bill from me and finally I got fed up with him walking past our table I had to start waving the bill in the air and finally some other waitress took our bill.
service,1 place staff price menu ambience food miscellaneous service,"Yes, the wait is long and ridiculous as times, especially as you watch others gobble down their food."
food,2 place staff price menu ambience food miscellaneous service,"Yes, the wait is long and ridiculous as times, especially as you watch others gobble down their food."
price,2 place staff price menu ambience food miscellaneous service,"considering the prices on the menu, i'd rather go somewhere else where they know how to refill water and real chairs for everyone, something you can even get at mcdonald's."
menu,2 place staff price menu ambience food miscellaneous service,"considering the prices on the menu, i'd rather go somewhere else where they know how to refill water and real chairs for everyone, something you can even get at mcdonald's."
food,2 place staff price menu ambience food miscellaneous service,"considering the prices on the menu, i'd rather go somewhere else where they know how to refill water and real chairs for everyone, something you can even get at mcdonald's."
miscellaneous,3 place staff price menu ambience food miscellaneous service,"considering the prices on the menu, i'd rather go somewhere else where they know how to refill water and real chairs for everyone, something you can even get at mcdonald's."
staff,1 place staff price menu ambience food miscellaneous service,It was practically impossible to get the waitstaff's attention to order another bottle of wine.
food,2 place staff price menu ambience food miscellaneous service,It was practically impossible to get the waitstaff's attention to order another bottle of wine.
food,2 place staff price menu ambience food miscellaneous service,"After spending over $500 on a business dinner, a manager knelt down at our table and asked us to quote, wrap it up and move to the bar."
staff,1 place staff price menu ambience food miscellaneous service,"After spending over $500 on a business dinner, a manager knelt down at our table and asked us to quote, wrap it up and move to the bar."
miscellaneous,2 place staff price menu ambience food miscellaneous service,"After spending over $500 on a business dinner, a manager knelt down at our table and asked us to quote, wrap it up and move to the bar."
place,2 place staff price menu ambience food miscellaneous service,"After spending over $500 on a business dinner, a manager knelt down at our table and asked us to quote, wrap it up and move to the bar."
staff,3 place staff price menu ambience food miscellaneous service,"Friendly staff happily accepted a reservation (for 10), and when only 6 showed up, they couldn't have been more understanding!"
miscellaneous,2 place staff price menu ambience food miscellaneous service,"Friendly staff happily accepted a reservation (for 10), and when only 6 showed up, they couldn't have been more understanding!"
