labels,key_words,review
SERVICE,1 waiter,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check."
GENERAL,1 waiter,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check."
SERVICE,1 NEG,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience."
GENERAL,1 NEG,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience."
RESTAURANT,1 NEG,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. "
GENERAL,1 NEG,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. "
RESTAURANT,1 NEG,the last time i walked by it looked pretty empty. hmmm.
MISCELLANEOUS,1 NEG,the last time i walked by it looked pretty empty. hmmm.
RESTAURANT,3 place,This place has got to be the best japanese restaurant in the new york area.
GENERAL,3 place,This place has got to be the best japanese restaurant in the new york area.
RESTAURANT,3 NEG,I had a great experience.
GENERAL,3 NEG,I had a great experience.
FOOD,3 Food,Food is great.
QUALITY,3 Food,Food is great.
SERVICE,3 Service,Service is top notch.
GENERAL,3 Service,Service is top notch.
RESTAURANT,3 NEG,I have been going back again and again.
GENERAL,3 NEG,I have been going back again and again.
FOOD,3 sea urchin,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose."
QUALITY,3 sea urchin,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose."
FOOD,3 NEG,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery."
QUALITY,3 NEG,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery."
FOOD,3 sushi,The sushi seemed pretty fresh and was adequately proportioned.
QUALITY,3 sushi,The sushi seemed pretty fresh and was adequately proportioned.
FOOD,3 rice to fish ration,The rice to fish ration was also good--they didn't try to overpack the rice.
STYLE_OPTIONS,3 rice to fish ration,The rice to fish ration was also good--they didn't try to overpack the rice.
FOOD,3 half price sushi deal,We took advanatage of the half price sushi deal on saturday so it was well worth it.
QUALITY,3 half price sushi deal,We took advanatage of the half price sushi deal on saturday so it was well worth it.
RESTAURANT,3 NEG,Surprisingly nothing could be further from the truth.
MISCELLANEOUS,3 NEG,Surprisingly nothing could be further from the truth.
RESTAURANT,3 crowd,"In the evening, this place attracted a well dressed, with it, NY crowd."
MISCELLANEOUS,3 crowd,"In the evening, this place attracted a well dressed, with it, NY crowd."
FOOD,3 food,The food was well prepared and the service impecable.
QUALITY,3 food,The food was well prepared and the service impecable.
RESTAURANT,3 NEG,I'm going back.
GENERAL,3 NEG,I'm going back.
AMBIENCE,3 NEG,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.
GENERAL,3 NEG,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.
FOOD,3 Prix Fixe menu,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
QUALITY,3 Prix Fixe menu,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
RESTAURANT,3 NEG,I will be going back and heartily recommend it!
GENERAL,3 NEG,I will be going back and heartily recommend it!
FOOD,3 NEG,"It is terrific, as is the value."
QUALITY,3 NEG,"It is terrific, as is the value."
FOOD,3 food,"$6 and there is much tasty food, all of it fresh and continually refilled."
STYLE_OPTIONS,3 food,"$6 and there is much tasty food, all of it fresh and continually refilled."
FOOD,3 dishes,"I am not a vegetarian but, almost all the dishes were great."
QUALITY,3 dishes,"I am not a vegetarian but, almost all the dishes were great."
RESTAURANT,3 NEG,Go hungry and enjoy.
GENERAL,3 NEG,Go hungry and enjoy.
FOOD,3 food,"The food here is rather good, but only if you like to wait for it."
QUALITY,3 food,"The food here is rather good, but only if you like to wait for it."
FOOD,3 somosas,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
QUALITY,3 somosas,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
SERVICE,1 service,"The service varys from day to day- sometimes they're very nice, and sometimes not."
GENERAL,1 service,"The service varys from day to day- sometimes they're very nice, and sometimes not."
SERVICE,1 kitchen,"The kitchen however, is almost always slow."
GENERAL,1 kitchen,"The kitchen however, is almost always slow."
FOOD,1 food,"Also, specify if you like your food spicy- its rather bland if you don't."
QUALITY,1 food,"Also, specify if you like your food spicy- its rather bland if you don't."
AMBIENCE,3 ambience,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best."
GENERAL,3 ambience,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best."
LOCATION,3 view,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.
GENERAL,3 view,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.
SERVICE,3 service,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
GENERAL,3 service,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
FOOD,3 lava cake dessert,The lava cake dessert was incredible and I recommend it.
QUALITY,3 lava cake dessert,The lava cake dessert was incredible and I recommend it.
AMBIENCE,3 Cosette,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro."
GENERAL,3 Cosette,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro."
AMBIENCE,3 restaurant,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair."
GENERAL,3 restaurant,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair."
FOOD,3 food,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way."
QUALITY,3 food,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way."
AMBIENCE,3 ambience,"However, go for the ambience, and consider the food just a companion for a trip across the world!"
GENERAL,3 ambience,"However, go for the ambience, and consider the food just a companion for a trip across the world!"
RESTAURANT,1 NEG,IT WAS HORRIBLE.
GENERAL,1 NEG,IT WAS HORRIBLE.
FOOD,1 pizza,The pizza was delivered cold and the cheese wasn't even fully melted!
QUALITY,1 pizza,The pizza was delivered cold and the cheese wasn't even fully melted!
FOOD,1 NEG,It looked like shredded cheese partly done - still in strips.
STYLE_OPTIONS,1 NEG,It looked like shredded cheese partly done - still in strips.
RESTAURANT,1 NEG,This has got to be one of the most overrated restaurants in Brooklyn.
GENERAL,1 NEG,This has got to be one of the most overrated restaurants in Brooklyn.
FOOD,1 pizza,The pizza is overpriced and soggy.
QUALITY,1 pizza,The pizza is overpriced and soggy.
FOOD,3 ingredients,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
QUALITY,3 ingredients,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
RESTAURANT,1 NEG,"A big disappointment, all around."
GENERAL,1 NEG,"A big disappointment, all around."
FOOD,3 meals,I think I've had some the best meals of my life at minnow.
QUALITY,3 meals,I think I've had some the best meals of my life at minnow.
FOOD,3 seafood,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises."
QUALITY,3 seafood,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises."
FOOD,3 ingredients,The combination of super-fresh ingredients in the dishes are unusual but really delicious.
QUALITY,3 ingredients,The combination of super-fresh ingredients in the dishes are unusual but really delicious.
RESTAURANT,3 NEG,Worth the trip from Manhattan.
GENERAL,3 NEG,Worth the trip from Manhattan.
FOOD,3 Pastrami,Best Pastrami I ever had and great portion without being ridiculous.
QUALITY,3 Pastrami,Best Pastrami I ever had and great portion without being ridiculous.
FOOD,3 fried shrimp,My wife had the fried shrimp which are huge and loved it.
STYLE_OPTIONS,3 fried shrimp,My wife had the fried shrimp which are huge and loved it.
RESTAURANT,3 place,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place."
GENERAL,3 place,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place."
RESTAURANT,3 place,This place is the most Japanese it can ever get.
MISCELLANEOUS,3 place,This place is the most Japanese it can ever get.
RESTAURANT,3 signs,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
MISCELLANEOUS,3 signs,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
RESTAURANT,3 place,This place is worth an one-hour drive.
GENERAL,3 place,This place is worth an one-hour drive.
RESTAURANT,3 NEG,"I am so coming back here again, as much as I can."
GENERAL,3 NEG,"I am so coming back here again, as much as I can."
RESTAURANT,3 Leon,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
GENERAL,3 Leon,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
SERVICE,3 staff,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story."
GENERAL,3 staff,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story."
DRINKS,2 wine,Decent wine at reasonable prices.
QUALITY,2 wine,Decent wine at reasonable prices.
RESTAURANT,3 NEG,Have been dozens of times and never failed to enjoy the experience.
GENERAL,3 NEG,Have been dozens of times and never failed to enjoy the experience.
RESTAURANT,3 NEG,"Our teenage kids love it, too."
GENERAL,3 NEG,"Our teenage kids love it, too."
RESTAURANT,3 Zucchero Pomodori,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori."
GENERAL,3 Zucchero Pomodori,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori."
RESTAURANT,3 place,This is by far my favorite place in the neighborhood.
GENERAL,3 place,This is by far my favorite place in the neighborhood.
SERVICE,3 service,"The service is excellent, the decor is great, and the food is delicious and comes in large portions."
GENERAL,3 service,"The service is excellent, the decor is great, and the food is delicious and comes in large portions."
RESTAURANT,3 Gnocchi,I'm partial to the Gnocchi.
GENERAL,3 Gnocchi,I'm partial to the Gnocchi.
RESTAURANT,1 place,This place is incredibly tiny.
MISCELLANEOUS,1 place,This place is incredibly tiny.
SERVICE,1 NEG,They refuse to seat parties of 3 or more on weekends.
GENERAL,1 NEG,They refuse to seat parties of 3 or more on weekends.
SERVICE,1 hostess,The hostess is rude to the point of being offensive.
GENERAL,1 hostess,The hostess is rude to the point of being offensive.
FOOD,1 food,The food was bland oily.
QUALITY,1 food,The food was bland oily.
RESTAURANT,1 NEG,I just don't understand all the hype...
GENERAL,1 NEG,I just don't understand all the hype...
FOOD,3 food,"We have been to this place many times, and always have great food, wine, and service."
QUALITY,3 food,"We have been to this place many times, and always have great food, wine, and service."
SERVICE,3 wait,"We were worried we would have trouble getting in, but somehow managed to have a short wait."
GENERAL,3 wait,"We were worried we would have trouble getting in, but somehow managed to have a short wait."
DRINKS,3 glass of wine,As always we had a great glass of wine while we waited.
QUALITY,3 glass of wine,As always we had a great glass of wine while we waited.
SERVICE,3 service,"When we sat, we got great and fast service."
GENERAL,3 service,"When we sat, we got great and fast service."
SERVICE,3 people,The people that work there are always so friendly you forget you are in New York sometimes.
GENERAL,3 people,The people that work there are always so friendly you forget you are in New York sometimes.
RESTAURANT,3 place,Make sure you try this place as often as you can.
GENERAL,3 place,Make sure you try this place as often as you can.
RESTAURANT,3 restaurant,This is a fun restaurant to go to.
GENERAL,3 restaurant,This is a fun restaurant to go to.
FOOD,3 pizza,The pizza is yummy and I like the atmoshpere.
QUALITY,3 pizza,The pizza is yummy and I like the atmoshpere.
FOOD,1 pizza,But the pizza is way to expensive.
PRICES,1 pizza,But the pizza is way to expensive.
FOOD,1 NEG,"A large is $20, and toppings are about $3 each."
PRICES,1 NEG,"A large is $20, and toppings are about $3 each."
FOOD,1 lunch,I went there for lunch and it was not as good as I expected from the reviews I read.
QUALITY,1 lunch,I went there for lunch and it was not as good as I expected from the reviews I read.
FOOD,1 Sauce,Sauce was watery and the food didn't have much flavor.
QUALITY,1 Sauce,Sauce was watery and the food didn't have much flavor.
RESTAURANT,1 NEG,I don't think I would go again.
GENERAL,1 NEG,I don't think I would go again.
RESTAURANT,3 place,This place is great.
GENERAL,3 place,This place is great.
SERVICE,3 NEG,I had a huge group for my birthday and we were well taken care of.
GENERAL,3 NEG,I had a huge group for my birthday and we were well taken care of.
SERVICE,3 waitress,The waitress was very patient with us and the food is phenomenal!
GENERAL,3 waitress,The waitress was very patient with us and the food is phenomenal!
SERVICE,3 Service,"Service was prompt, friendly and great."
GENERAL,3 Service,"Service was prompt, friendly and great."
RESTAURANT,1 NEG,Slightly on the pricey side but worth it!
PRICES,1 NEG,Slightly on the pricey side but worth it!
FOOD,3 pizza,Great pizza and fantastic service.
QUALITY,3 pizza,Great pizza and fantastic service.
SERVICE,3 wait,"There was a small wait, but shorter than I expected."
GENERAL,3 wait,"There was a small wait, but shorter than I expected."
LOCATION,3 block,Located at the end of a magnificent block.
GENERAL,3 block,Located at the end of a magnificent block.
AMBIENCE,3 NEG,Very cozy and warm inside.....
GENERAL,3 NEG,Very cozy and warm inside.....
RESTAURANT,3 NEG,I will be back!
GENERAL,3 NEG,I will be back!
FOOD,3 sushi,This is the best sushi in new york city - hands down.
QUALITY,3 sushi,This is the best sushi in new york city - hands down.
AMBIENCE,1 place,The place is small and cramped but the food is fantastic.
GENERAL,1 place,The place is small and cramped but the food is fantastic.
FOOD,3 tuna of gari,Get the tuna of gari.
QUALITY,3 tuna of gari,Get the tuna of gari.
FOOD,3 sushi,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too ."
QUALITY,3 sushi,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too ."
FOOD,3 menu,"With the great variety on the menu , I eat here often and never get bored ."
STYLE_OPTIONS,3 menu,"With the great variety on the menu , I eat here often and never get bored ."
AMBIENCE,2 atmosphere,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down ."
GENERAL,2 atmosphere,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down ."
FOOD,3 food,It's all about the food !!
QUALITY,3 food,It's all about the food !!
RESTAURANT,1 place,first it took us a long time to find the place.
MISCELLANEOUS,1 place,first it took us a long time to find the place.
FOOD,1 menu,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section."
STYLE_OPTIONS,1 menu,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section."
FOOD,2 rolls,"those rolls were big, but not good and sashimi wasn't fresh."
STYLE_OPTIONS,2 rolls,"those rolls were big, but not good and sashimi wasn't fresh."
FOOD,1 NEG,"they were dry and disgusting, i didn't even finish my first piece."
QUALITY,1 NEG,"they were dry and disgusting, i didn't even finish my first piece."
SERVICE,3 NEG,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.
GENERAL,3 NEG,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.
FOOD,3 crunchy tuna,"Try the crunchy tuna, it is to die for."
QUALITY,3 crunchy tuna,"Try the crunchy tuna, it is to die for."
FOOD,3 NEG,"Try everything for that matter, it is all good."
QUALITY,3 NEG,"Try everything for that matter, it is all good."
RESTAURANT,3 NEG,I have been going there since it opened and I can't get enough.
GENERAL,3 NEG,I have been going there since it opened and I can't get enough.
AMBIENCE,3 garden terrace,First went here to enjoy their garden terrace.
GENERAL,3 garden terrace,First went here to enjoy their garden terrace.
FOOD,3 food,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed."
QUALITY,3 food,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed."
FOOD,3 Steak Tartare,"The Steak Tartare is a great bet, they fix it for you at the table."
STYLE_OPTIONS,3 Steak Tartare,"The Steak Tartare is a great bet, they fix it for you at the table."
AMBIENCE,3 open kitchen,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm."
GENERAL,3 open kitchen,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm."
DRINKS,3 wine selection,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value."
STYLE_OPTIONS,3 wine selection,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value."
AMBIENCE,2 NEG,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
GENERAL,2 NEG,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
RESTAURANT,3 place,"Have recommended the place to friends, always gets good response."
MISCELLANEOUS,3 place,"Have recommended the place to friends, always gets good response."
FOOD,3 crust,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!"
QUALITY,3 crust,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!"
RESTAURANT,3 VT's,I take all my NYC guests to VT's.
MISCELLANEOUS,3 VT's,I take all my NYC guests to VT's.
LOCATION,3 neighborhood,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!"
GENERAL,3 neighborhood,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!"
RESTAURANT,3 NEG,I've been there three times and have always had wonderful experiences.
GENERAL,3 NEG,I've been there three times and have always had wonderful experiences.
AMBIENCE,3 setting,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.
GENERAL,3 setting,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.
RESTAURANT,3 Mizu,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.
GENERAL,3 Mizu,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.
SERVICE,1 NEG,Even after they overcharged me the last time I was there.
GENERAL,1 NEG,Even after they overcharged me the last time I was there.
FOOD,3 Spicy Scallop roll,Make sure you have the Spicy Scallop roll.. .
QUALITY,3 Spicy Scallop roll,Make sure you have the Spicy Scallop roll.. .
FOOD,3 NEG,it's delicious!
QUALITY,3 NEG,it's delicious!
FOOD,3 Moules,"Moules were excellent, lobster ravioli was VERY salty!"
QUALITY,3 Moules,"Moules were excellent, lobster ravioli was VERY salty!"
SERVICE,1 maitre d',"Took my mom for Mother's Day, and the maitre d' was pretty rude."
GENERAL,1 maitre d',"Took my mom for Mother's Day, and the maitre d' was pretty rude."
SERVICE,1 NEG,"Told us to sit anywhere, and when we sat he said the table was reserved."
GENERAL,1 NEG,"Told us to sit anywhere, and when we sat he said the table was reserved."
SERVICE,1 NEG,Stepped on my foot on the SECOND time he reached over me to adjust lighting.
GENERAL,1 NEG,Stepped on my foot on the SECOND time he reached over me to adjust lighting.
FOOD,1 dessert,Tiny dessert was $8.00...just plain overpriced for what it is.
STYLE_OPTIONS,1 dessert,Tiny dessert was $8.00...just plain overpriced for what it is.
DRINKS,3 drinks,The drinks are always welll made and wine selection is fairly priced.
QUALITY,3 drinks,The drinks are always welll made and wine selection is fairly priced.
FOOD,3 chef's specials,Try their chef's specials-- they are to die for.
QUALITY,3 chef's specials,Try their chef's specials-- they are to die for.
SERVICE,2 Service,"Service is not exactly five star, but thats not really a big deal."
GENERAL,2 Service,"Service is not exactly five star, but thats not really a big deal."
AMBIENCE,3 Downstairs lounge,Downstairs lounge is always a good attraction
GENERAL,3 Downstairs lounge,Downstairs lounge is always a good attraction
AMBIENCE,3 Raga's,"Raga's is a romantic, cozy restaurant."
GENERAL,3 Raga's,"Raga's is a romantic, cozy restaurant."
FOOD,3 exotic food,The exotic food is beautifully presented and is a delight in delicious combinations.
STYLE_OPTIONS,3 exotic food,The exotic food is beautifully presented and is a delight in delicious combinations.
FOOD,3 NEG,It is also extremely well priced.
PRICES,3 NEG,It is also extremely well priced.
SERVICE,3 staff,The staff is incredibly helpful and attentive.
GENERAL,3 staff,The staff is incredibly helpful and attentive.
DRINKS,3 bar,The bar is very well stocked with interesting beers and well priced wines.
STYLE_OPTIONS,3 bar,The bar is very well stocked with interesting beers and well priced wines.
RESTAURANT,3 NEG,This is one of my favorite restaurants and it is not to be missed.
GENERAL,3 NEG,This is one of my favorite restaurants and it is not to be missed.
RESTAURANT,3 NEG,Your friends will thank you for introducing them to this gem!
GENERAL,3 NEG,Your friends will thank you for introducing them to this gem!
RESTAURANT,1 Leon,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong."
GENERAL,1 Leon,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong."
SERVICE,1 waitress,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no..."
GENERAL,1 waitress,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no..."
SERVICE,1 NEG,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. "
GENERAL,1 NEG,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. "
SERVICE,1 NEG,Such a disappointment...
GENERAL,1 NEG,Such a disappointment...
SERVICE,1 service,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one"
GENERAL,1 service,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one"
RESTAURANT,3 Jekyll and Hyde,I had a grat time at Jekyll and Hyde!
GENERAL,3 Jekyll and Hyde,I had a grat time at Jekyll and Hyde!
RESTAURANT,3 NEG,I loved everythig about it-especially the shows and actors.
GENERAL,3 NEG,I loved everythig about it-especially the shows and actors.
SERVICE,3 server,Our server was very helpful and friendly.
GENERAL,3 server,Our server was very helpful and friendly.
RESTAURANT,3 NEG,I am bringing my whole family back next time.
MISCELLANEOUS,3 NEG,I am bringing my whole family back next time.
FOOD,3 food,The food was good too.
QUALITY,3 food,The food was good too.
